name,price,status,shipping,free_returns,items_sold
Nerf Fire Vision Sports Nerfoop Firevision Basketball Hoop w/Glasses NIB!,2995,Brand New,0,True,
NERF SPORTS DUDE PERFECT PERFECT SHOT HOOPS / BASKETBALL ,2900,Brand New,0,False,
New ListingNERF Youth Mini Basketball Goal Hoop System Indoor / Outdoor Portable Kids ,19999,Brand New,1999,False,
NEW~Nerf Sports~Nerfoop~Classic~Indoor Basketball Hoop~2009 Hasbro~Retired~HTF,1988,Brand New,0,True,
NERF Nerfoop -- The Classic Mini Foam Basketball and Hoop -- Hooks On Doors -...,900,Brand New,1260,False,
NEW SEALED - NERF Fire Vision Ignite Nerfoop - Mini Basketball & Hoop Set HASBRO,1995,Brand New,1365,False,
NEW World's Smallest Official NERF HOOP NERFoop Basketball/Goal/Net Mini Toy,1099,Brand New,610,False,
Rare Nerf NBA Mini Basketball Hoop Sport Nerfoop Indoor Pro Set Yao Ming Rockets,3839,Pre-Owned,1575,False,
Nerf Super Soaker Dunk It Pool Basketball - Swimming pool basketball hoop,1099,Brand New,0,False,
NERF Nerfoop - The Classic Mini Foam Basketball & Hoop - Indoor & Outdoor Play ,1579,Brand New,0,False,14
NERF Pro Shop Nite Jam Nerfoop Over Door Lighted Basketball Hoop NEW 2004,2999,Pre-Owned,10005,True,
Nerf Pro Hoop Over The Door Basketball Hoop Spring Loaded Rim for Indoor Play,2499,Brand New,1051,True,
NERF Mini Over The Door Basketball Hoop Indoor Ball Not Included Used,788,Pre-Owned,1260,False,
World's Smallest Basketball hoop,1000,Brand New,685,False,
Hasbro Nerf Sports Nerfhoop Green Gray Basketball Hoop,1999,Brand New,0,False,
NEW SEALED - NERF Fire Vision Ignite Nerfoop - Mini Basketball & Hoop Set,2510,Brand New,1710,False,
2012 Nerf Fire Vision Sports Nerfoop Basketball Hoop Basketball W/Glasses NIB!,2995,Brand New,995,False,
"4"" Foam Mini Basketball for Nerf Basketball Hoop Sets | Safe & Quiet Small Baske",2820,Brand New,0,False,
PerfectShot NERF SPORTS BASKETBALL Hoops DUDE PERFECT Indoor Outdoor SHOT.,1799,Brand New,2220,False,
Nerf Mini Basketball Hoop Pro Over The Door With Ball 18 In. X 12 In.,5123,Brand New,0,True,
"Multicolored 4"" Foam Mini Basketball Set Compatible with Nerf Basketball Hoop | ",4537,Brand New,0,True,
NEW~Nerf Sports~Nerfoop~Classic~Indoor Basketball Hoop~2009 Hasbro~Retired~HTF,1200,Brand New,1710,False,
Nerf Nerfoop – The Classic Mini Foam Basketball and Hoop -- Hooks On Doors --,1999,Brand New,380,False,
NERF Nerfoop - The Classic Mini Foam Basketball & Hoop - Indoor & Outdoor Play ,1500,Brand New,0,False,
NERF Pro Shop Nite Jam Nerfoop Over Door Lighted Basketball Hoop 2004 Mini Hoop,3000,Pre-Owned,0,False,
"NERF NERFOOP The Classic Mini Foam Basketball and Hoop Hooks On Doors Feb.1,21 ",1579,Brand New,0,False,32
PerfectShot NERF SPORTS BASKETBALL Hoops DUDE PERFECT Indoor Outdoor SHOT ,2495,Brand New,1396,False,
"3"" Foam Mini Basketball for Nerf Nerfoop Jump Shot Mini Hoop Basketball, 3 Pack",1922,Brand New,0,True,
Nerf Pro Hoop Mini Indoor Hoop Basketball With Shatterproof Backboard and Pump,1999,Brand New,1099,False,
Nerf Pro Hoop 18 x 12 Basketball mini backboard & ball - New in Box,2299,Brand New,2285,False,
PerfectShot NERF SPORTS BASKETBALL Hoops DUDE PERFECT Indoor Outdoor SHOT.,3000,Brand New,1190,False,
Nerf Nerfoop – The Classic Mini Foam Basketball and Hoop -- Hooks On Doors --,769,Brand New,1710,False,
Hasbro Nerf Sports NERFOOP [Pro Series] Basketball Goal/Hoop Set (Breakaway Rim),7497,Brand New,0,False,
Nerf Sports Nerfoop Basketball Hoop,1529,Brand New,778,False,
Nerf Mini Hoop Blue/Orange Basketball *GOOD CONDITION*,500,Pre-Owned,560,False,
Nerf pro Shot Outdoor basketball system 7.5 Ft X 30 In X 29 In Hot Deal 🔥🔥��,9900,Brand New,11585,False,
NERF NERFOOP - Classic Door Hanging Basketball Hoop - Factory New Blue,1799,Brand New,1275,False,
Nerf Sport Nerfoop Classic Orange/Green Indoor Basketball Hoop New In Package,2795,Brand New,1260,False,
NERF Nerfoop - The Classic Mini Foam Basketball & Hoop - Indoor & Outdoor Play ,1499,Brand New,0,False,
Franklin NERF Pro Hoops Basketball Hoop Set (Over the Door Mini Set with Ball),2495,Brand New,1294,False,
Nerf Nerfoop – The Classic Mini Foam Basketball and Hoop -- Hooks On Doors --,700,Brand New,1260,False,
New NERF Mini Over The Door Basketball Hoop - 2 Nets + 2 BackBoards Wall2Wall,1099,New (Other),799,False,
🔥NEW🔥 Nerf NERFOOP Indoor/outdoor Basketball Hoop HOOKS OVER ANY DOOR! 🔥NEW🔥,1899,Brand New,499,False,
NEW IN BOX NERF SPORTS NERFOOP PRO SERIES INDOOR PLAY BASKETBALL HOOP AND BALL,5999,Brand New,1575,False,
Nerf Nerfoop - The Classic Mini Foam Basketball and Hoop Brand New Set of 2!,1500,Brand New,1183,False,
Nerf Proshot Portable Basketball System - 7.5 Ft. x 30 Inch x 29 Inch,19900,Brand New,0,False,
World's Smallest NERFOOP Nerf Basketball Hoop Ball Mini Miniature Desk Toy Doll,1097,Brand New,560,False,
Nerf Outdoor basketball system 7.5 Ft X 30 In X 29 🙌,17500,Brand New,6130,False,
2020 Hallmark Ornament ~ NERF Basketball Hoop Hasbro ~ NIB,1200,Brand New,0,False,
NERF Nerfoop Over Door Basketball Hoop 2008,797,Pre-Owned,3085,True,
NERF Pro Shop Nite Jam Nerfoop Over Door Lighted Basketball Hoop NEW 2004,3600,Brand New,1710,False,
